"CHAVE" "HOST NAME" "IP" "STATUS"
"SWWEB096" "www.desenvolvimento.rj.gov.br" "-" "OPERACIONAL"
"SWWEB097" "www.ambiente.rj.gov.br" "-" "OPERACIONAL"
"SWWEB098" "www.cultura.rj.gov.br" "-" "OPERACIONAL"
"SWWEB099" "www.turismoesporte.rj.gov.br" "-" "OPERACIONAL"
"SWWEB100" "www.casacivil.rj.gov.br" "-" "OPERACIONAL"
"SWWEB101" "www.cienciaetecnologia.rj.gov.br" "-" "OPERACIONAL"
"SWWEB102" "www.segov.rj.gov.br" "-" "OPERACIONAL"
"SWWEB103" "www.seh.rj.gov.br" "-" "OPERACIONAL"
"SWWEB104" "www.seh.rj.gov.br/obras" "-" "OPERACIONAL"
"SWWEB105" "www.seloproderj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB106" "www.obras.rj.gov.br" "-" "OPERACIONAL"
"SWWEB107" "www.planejamento.rj.gov.br" "-" "OPERACIONAL"
"SWWEB108" "www.serla.rj.gov.br" "-" "OPERACIONAL"
"SWWEB109" "www.trabalho.rj.gov.br" "-" "OPERACIONAL"
"SWWEB110" "www.transportes.rj.gov.br" "-" "OPERACIONAL"
"SWWEB111" "www.governo.rj.gov.br/sigov" "-" "OPERACIONAL"
"SWWEB112" "www.proderj.rj.gov.br/sigai" "-" "OPERACIONAL"
"SWWEB113" "www.proderj.rj.gov.br/ago" "-" "OPERACIONAL"
"SWWEB114" "www.gestaocontratos.rj.gov.br" "-" "OPERACIONAL"
"SWWEB115" "www.casacivil.rj.gov.br/sacdj" "-" "OPERACIONAL"
"SWWEB116" "www.proderj.rj.gov.br/app" "-" "OPERACIONAL"
"SWWEB117" "www.soshabitacao.rj.gov.br" "-" "OPERACIONAL"
"SWWEB118" "www.suderj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB119" "www.pessoalsuop.rj.gov.br" "-" "OPERACIONAL"
"SWWEB120" "www.tirj.org.br" "-" "OPERACIONAL"
"SWWEB121" "www.theatromunicipal.rj.gov.br" "-" "OPERACIONAL"
"SWWEB122" "www.turisrio.rj.gov.br" "-" "OPERACIONAL"
"SWWEB123" "intranet/gaj" "-" "-"
"SWWEB124" "intranet/sislink" "-" "-"
"SWWEB125" "intranet/gde" "-" "-"
"SWWEB126" "intranet/gie" "-" "-"
"SWWEB127" "intranet/gac_se" "-" "-"
"SWWEB128" "intranet/goe" "-" "-"
"SWWEB129" "intranet/gsn" "-" "-"
"SWWEB130" "intranet/gsb" "-" "-"
"SWWEB131" "intranet/gsp" "-" "-"
"SWWEB132" "intranet" "-" "OPERACIONAL"
"SWWEB133" "intranet/sgp" "-" "-"
"SWWEB134" "www.cic.proderj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB135" "www.prematricula.see.rj.gov.br" "-" "-"
"SWWEB136" "www.supletivo.see.rj.gov.br" "-" "-"
"SWWEB137" "www.softwarelivre.rj.gov.br" "-" "OPERACIONAL"
"SWWEB138" "www.pai.rj.gov.br" "-" "OPERACIONAL"
"SWWEB139" "www.berj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB140" "www.catalogodados.rj.gov.br" "-" "OPERACIONAL"
"SWWEB141" "www.catalogoprecosabep.proderj.rj.gov.br" "-" "-"
"SWWEB142" "sistemas.proderj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB143" "www.comprario.rj.gov.br" "-" "OPERACIONAL"
"SWWEB144" "www.cedca.rj.gov.br" "-" "OPERACIONAL"
"SWWEB145" "www.convenios.rj.gov.br" "-" "OPERACIONAL"
"SWWEB146" "www.detro.rj.gov.br" "-" "OPERACIONAL"
"SWWEB147" "www.egprio.rj.gov.br" "-" "OPERACIONAL"
"SWWEB148" "www.geconv.rj.gov.br" "-" "-"
"SWWEB149" "www.geo-educacao.rj.gov.br" "-" "-"
"SWWEB150" "www.inepac.rj.gov.br" "-" "OPERACIONAL"
"SWWEB151" "www.juventude.rj.gov.br" "-" "-"
"SWWEB152" "www.loterj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB153" "www.microbacias.rj.gov.br" "-" "OPERACIONAL"
"SWWEB154" "www.biblio.proderj.rj.gov.br" "-" "-"
"SWWEB155" "www.bomjardim.rj.gov.br" "-" "-"
"SWWEB156" "www.italva.rj.gov.br" "-" "-"
"SWWEB157" "www.itaocara.rj.gov.br" "-" "-"
"SWWEB158" "www.macuco.rj.gov.br" "-" "-"
"SWWEB159" "www.queimados.rj.gov.br" "-" "-"
"SWWEB160" "www.saojosedeuba.rj.gov.br" "-" "-"
"SWWEB161" "www.saosebastiaodoalto.rj.gov.br" "-" "-"
"SWWEB162" "www.seropedica.rj.gov.br" "-" "-"
"SWWEB163" "www.vassouras.rj.gov.br" "-" "-"
"SWWEB164" "www.riodasflores.rj.gov.br" "-" "-"
"SWWEB165" "www.trajanodemoraes.rj.gov.br" "-" "-"
"SWWEB166" "www.avaliacao.proderj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB167" "www.projetosestruturantes.rj.gov.br" "-" "OPERACIONAL"
"SWWEB168" "www.projetosseh.rj.gov.br" "-" "-"
"SWWEB169" "www.resenha.rj.gov.br" "-" "OPERACIONAL"
"SWWEB170" "www.projetos.seaapi.rj.gov.br" "-" "-"
"SWWEB171" "www.seap.rj.gov.br" "-" "OPERACIONAL"
"SWWEB172" "www.riocontradengue.proderj.rj.gov.br" "-" "-"
"SWWEB173" "helpdesk" "-" "OPERACIONAL"
"SWWEB174" "www.estatisticadesite.rj.gov.br/agetrans" "-" "-"
"SWWEB175" "www.estatisticadesite.rj.gov.br/casacivi" "-" "-"
"SWWEB176" "www.estatisticadesite.rj.gov.br/ccri" "-" "-"
"SWWEB177" "www.estatisticadesite.rj.gov.br/cehab" "-" "-"
"SWWEB178" "www.estatisticadesite.rj.gov.br/concurso" "-" "-"
"SWWEB179" "www.estatisticadesite.rj.gov.br/conseti" "-" "-"
"SWWEB180" "www.estatisticadesite.rj.gov.br/consumid" "-" "-"
"SWWEB181" "www.estatisticadesite.rj.gov.br/convenio" "-" "-"
"SWWEB182" "www.estatisticadesite.rj.gov.br/cted" "-" "-"
"SWWEB183" "www.estatisticadesite.rj.gov.br/cultura" "-" "-"
"SWWEB184" "www.estatisticadesite.rj.gov.br/pmsjb_de" "-" "-"
"SWWEB185" "www.estatisticadesite.rj.gov.br/delegaci" "-" "-"
"SWWEB186" "www.estatisticadesite.rj.gov.br/desenvol" "-" "-"
"SWWEB187" "www.estatisticadesite.rj.gov.br/detro" "-" "-"
"SWWEB188" "www.estatisticadesite.rj.gov.br/drm" "-" "-"
"SWWEB189" "www.estatisticadesite.rj.gov.br/egprio" "-" "-"
"SWWEB190" "www.estatisticadesite.rj.gov.br/emater" "-" "-"
"SWWEB191" "www.estatisticadesite.rj.gov.br/emop" "-" "-"
"SWWEB192" "www.estatisticadesite.rj.gov.br/espacodo" "-" "-"
